brood_year,value,component,origin,JPE_letter_date,footnote,references_contributors,lower_95_CI,upper_95_CI
2006,17205,Total Sacramento River escapement,Natural,2007-02-15,"1/ 2006 carcass survey (DFG letter dated 12/7/06), Jolly-Seber est. includes both wild and hatchery origin.","CDFW, USFWS",NA,NA
2006,8811,Adult female estimate,Natural,2007-02-15,2/ Number of females estimated from the carcass surveys (hatchery + natural origin),"CDFW, USFWS",NA,NA
2006,8626,AFE minus pre-spawn mortality,Natural,2007-02-15,"3/ Pre-spawn mortality (2.1% of all fresh females) from Alice Low, DFG, per.comm. 1/16/07","CDFW, USFWS",NA,NA
2006,5484,Average fecundity,Natural,2007-02-15,"4/ Eggs per adult female (n= 50), based on 2006 spawning at Livingston Stone National Fish Hatchery.",LSNFH,NA,NA
2006,47272022,Total eggs,Natural,2007-02-15,NA,"CDFW, LSNFH, USFWS",NA,NA
2006,NA,Estimated egg-to-fry survival rate,Natural,NA,NA,NA,NA,NA
2006,NA,Fry-to-smolt survival,Natural,NA,NA,NA,NA,NA
2006,0.53625,Estimated smolt survival term,Natural,2007-02-15,"7/ Average of ocean recoveries of paired Late-Fall Chinook fmm Coleman Hatchery released at Battle Cr. and Delta locations from 1994-2001 (USFWS, unpubl. data, Chippstable 2005)",NA,NA,NA
2006,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
2006,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
2006,107239,Total LSNFH production entering the Delta,Hatchery,2007-02-15,NA,NA,NA,NA
2006,196050,LSNFH Hatchery release,Hatchery,2007-02-15,"8/ Livingston Stone National Fish Hatchery conservation program release, all tagged and fin-clipped. Survival calculated based on 2003 winter-run tag recoveries at Chipps Is (n=34).",LSNFH,NA,NA
2006,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2006,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2006,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2006,74781,Natural Incidental Take Limit,Natural,2007-02-15,NA,NA,NA,NA
2006,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2006,1072,LSNFH Incidental Take Limit,Hatchery,2007-02-15,NA,NA,NA,NA
2006,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2006,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2008,617783,Total natural production entering the Delta,Natural,2009-01-12,NA,NA,NA,NA
2008,2850,Total Sacramento River escapement,Natural,2009-01-12,"1/ Based on DFG official estimate, letter to NMFS received 11/25/08, includes hatchery broodstock.","CDFW, USFWS",NA,NA
2008,1466,Adult female estimate,Natural,2009-01-12,2/ Used sex ratio from Keswick trap( 53%) instead of carcass surveys(78%) to account for bias in males,"CDFW, USFWS",NA,NA
2008,1443,AFE minus pre-spawn mortality,Natural,2009-01-12,"3/ Pre-spawn mortality =1.55%, or 6 of 387 females unspawned (D. Killam email 8/28/09).","CDFW, USFWS",NA,NA
2008,5424,Average fecundity,Natural,2009-01-12,"4/ Average eggs/female, 2008 returns to Livingston Stone National Fish Hatchery (n=48, STD 911).",LSNFH,NA,NA
2008,7810463,Total eggs,Natural,2009-01-12,NA,"CDFW, LSNFH, USFWS",NA,NA
2008,NA,Estimated egg-to-fry survival rate,Natural,NA,NA,NA,NA,NA
2008,NA,Fry-to-smolt survival,Natural,NA,NA,NA,NA,NA
2008,0.53625,Estimated smolt survival term,Natural,2009-01-12,"7/ Average of ocean recoveries paired Late-Fall from Coleman Hatchery released at Battle Creek and in Delta locations from 1994-2001 (USFWS, unpubl. data, Chippstable 2005)",NA,NA,NA
2008,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
2008,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
2008,82050,Total LSNFH production entering the Delta,Hatchery,2009-01-12,NA,NA,NA,NA
2008,150000,LSNFH Hatchery release,Hatchery,2009-01-12,8/ LSNFH release (all tagged & clipped). Survival estimated from 2003 recoveries at Chipps Is (n=34).,LSNFH,NA,NA
2008,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2008,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2008,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2008,12356,Natural Incidental Take Limit,Natural,2009-01-12,NA,NA,NA,NA
2008,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2008,821,LSNFH Incidental Take Limit,Hatchery,2009-01-12,NA,NA,NA,NA
2008,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2008,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2009,1179633,Total natural production entering the Delta,Natural,2010-02-24,NA,NA,NA,NA
2009,4537,Total Sacramento River escapement,Natural,2010-02-24,"1/ Based on DFG letter dated 1/14/10, includes hatchery broodstock.","CDFW, USFWS",NA,NA
2009,2717,Adult female estimate,Natural,2010-02-24,2/ Sex ratio was based on data collected in 2009 carcass survey (USFWS pre-release report 1/25/10),"CDFW, USFWS",NA,NA
2009,2702,AFE minus pre-spawn mortality,Natural,2010-02-24,"3/ Pre-spawn mortality =0.54%, or 3 of 553 females unspawned (D. Killam email 1/28/10).","CDFW, USFWS",NA,NA
2009,5519,Average fecundity,Natural,2010-02-24,"4/ Average eggs/female, 2009 hatchery returns (n=48) Table 2, USFWS pre-release report 1/25/10).",LSNFH,NA,NA
2009,14913776,Total eggs,Natural,2010-02-24,NA,"CDFW, LSNFH, USFWS",NA,NA
2009,NA,Estimated egg-to-fry survival rate,Natural,NA,NA,NA,NA,NA
2009,NA,Fry-to-smolt survival,Natural,NA,NA,NA,NA,NA
2009,0.53625,Estimated smolt survival term,Natural,2010-02-24,"7/ Average of ocean recoveries paired Late-Fall from Coleman Hatchery released at Battle Creek and in Delta locations from 1994-2001 (USFWS, unpubl. data, Chippstable 2005)",NA,NA,NA
2009,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
2009,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
2009,108725,Total LSNFH production entering the Delta,Hatchery,2010-02-24,NA,NA,NA,NA
2009,198766,LSNFH Hatchery release,Hatchery,2010-02-24,8/LSNFH release (all tagged & clipped). Survival estimated from 2003 recoveries at Chipps Is (n=34).,LSNFH,NA,NA
2009,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2009,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2009,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2009,23593,Natural Incidental Take Limit,Natural,2010-02-24,NA,NA,NA,NA
2009,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2009,1087,LSNFH Incidental Take Limit,Hatchery,2010-02-24,NA,NA,NA,NA
2009,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2009,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2010,332012,Total natural production entering the Delta,Natural,2011-01-12,NA,NA,NA,NA
2010,1533,Total Sacramento River escapement,Natural,2011-01-12,"1/ Based on DFG letter to Rod McInnis 12/08/10, in-river spawners minus hatchery broodstock.","CDFW, USFWS",NA,NA
2010,822,Adult female estimate,Natural,2011-01-12,"2/ Sex ratio from carcass survey, number of females estimated from DFG letter","CDFW, USFWS",NA,NA
2010,813,AFE minus pre-spawn mortality,Natural,2011-01-12,"3/ Pre-spawn mortality =1.0%, or 8 of 822 females unspawned (from DFG carcass survey table).","CDFW, USFWS",NA,NA
2010,5161,Average fecundity,Natural,2011-01-12,"4/ Average eggs/female, from 2010 returns to Livingston Stone National Fish Hatchery, John Rueth.",LSNFH,NA,NA
2010,4197541,Total eggs,Natural,2011-01-12,NA,"CDFW, LSNFH, USFWS",NA,NA
2010,NA,Estimated egg-to-fry survival rate,Natural,NA,NA,NA,NA,NA
2010,NA,Fry-to-smolt survival,Natural,NA,NA,NA,NA,NA
2010,0.53625,Estimated smolt survival term,Natural,2011-01-12,"7/ Average of ocean recoveries paired Late-Fall from Coleman NFH released at Battle Cr.and Delta locations from 1994-2001 (USFWS, unpubl. data, Chippstable 2005)",NA,NA,NA
2010,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
2010,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
2010,66734,Total LSNFH production entering the Delta,Hatchery,2011-01-12,NA,NA,NA,NA
2010,122000,LSNFH Hatchery release,Hatchery,2011-01-12,8/ LSNFH release (100% tagged & clipped). Survival estimated from 2003 recoveries at Chipps Is. (n=34).,LSNFH,NA,NA
2010,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2010,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2010,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2010,6640,Natural Incidental Take Limit,Natural,2011-01-12,NA,NA,NA,NA
2010,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2010,667,LSNFH Incidental Take Limit,Hatchery,2011-01-12,NA,NA,NA,NA
2010,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2010,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2011,162051,Total natural production entering the Delta,Natural,2012-01-26,NA,NA,NA,NA
2011,824,Total Sacramento River escapement,Natural,2012-01-26,"1/ total in-river escapement using Jolly-Seber model, includes fish taken for hatchery broodstock (738 +86 =824) from DFG letter 12/6/11.","CDFW, USFWS",NA,NA
2011,424,Adult female estimate,Natural,2012-01-26,2/ Sex ratio from 2011 Keswick trap instead of carcass surveys to account for bias in males. Number of females estimated is from DFG letter 12/6/11.,"CDFW, USFWS",NA,NA
2011,424,AFE minus pre-spawn mortality,Natural,2012-01-26,"3/ Pre-spawn mortality =0% in 2011, from DFG carcass survey table.","CDFW, USFWS",NA,NA
2011,4832,Average fecundity,Natural,2012-01-26,"4/ Average eggs/female, based on 2011 return (n=45) to LSNFH from Kevin Niemela, FWS, 1/10/12.",LSNFH,NA,NA
2011,2048968,Total eggs,Natural,2012-01-26,NA,"CDFW, LSNFH, USFWS",NA,NA
2011,0.25,Estimated egg-to-fry survival rate,Natural,2012-01-26,"6/ This is measured at Red Bluff based on female spawners, carcass survey females, JPI/female spawner, and fecundity data (J. Smith, FWS, 12/7/11 WRPWT notes)","CDFW, LSNFH, USFWS",NA,NA
2011,0.59,Fry-to-smolt survival,Natural,2012-01-26,7/ This number (0.59) previously had been multiplied into the estimated survival- Egg to Smolt,NA,NA,NA
2011,0.53625,Estimated smolt survival term,Natural,2012-01-26,"8/ Average of ocean recoveries of paired Late-Fall releases from Coleman NFH released at Battle Cr.and Delta locations from 1994-2001 (USFWS, unpubl. data, Chipps Table 2005)",NA,NA,NA
2011,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
2011,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
2011,96525,Total LSNFH production entering the Delta,Hatchery,2012-01-26,NA,NA,NA,NA
2011,194734,LSNFH Hatchery release,Hatchery,2012-01-26,9/ LSNFH release scheduled for 2/4/12 (all tagged & clipped).,LSNFH,NA,NA
2011,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2011,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2011,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2011,3241,Natural Incidental Take Limit,Natural,2012-01-26,NA,NA,NA,NA
2011,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2011,965,LSNFH Incidental Take Limit,Hatchery,2012-01-26,NA,NA,NA,NA
2011,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2011,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2012,532809,Total natural production entering the Delta,Natural,2013-01-31,NA,NA,NA,NA
2012,2581,Total Sacramento River escapement,Natural,2013-01-31,"1/ Total in-river escapement (90% CI) using modified Cormack Jolly-Seber (CJS) model, includes 803 hatchery fish from CDFW letter 1/4/13, but does not include 93 removed for LSNFH.","CDFW, USFWS",NA,NA
2012,1498,Adult female estimate,Natural,2013-01-31,2/ The number of females is derived from carcass surveys by applying the CJS model and then the number of males is derived using the sex ratio at the Keswick trapping station.,"CDFW, USFWS",NA,NA
2012,1491,AFE minus pre-spawn mortality,Natural,2013-01-31,"3/ Pre-spawn mortality (7 of 602 females observed) in 2012, from CDFW final carcass estimate 12/3/12.","CDFW, USFWS",NA,NA
2012,4518,Average fecundity,Natural,2013-01-31,"4/ Average # eggs/female, from 2012 returns (n=47) to LSNFH, email from John Rueth, USFWS.",LSNFH,NA,NA
2012,6736155,Total eggs,Natural,2013-01-31,NA,"CDFW, LSNFH, USFWS",NA,NA
2012,0.25,Estimated egg-to-fry survival rate,Natural,2013-01-31,"6/ Survival measured at Red Bluff based on JPI/female spawners in carcass survey, and fecundity data (J. Smith, USFWS, 12/7/11 WRPWT notes)","CDFW, LSNFH, USFWS",NA,NA
2012,0.59,Fry-to-smolt survival,Natural,2013-01-31,7/ This survival rate (0.59) previously had been multiplied into the Egg to Smolt survival,NA,NA,NA
2012,0.53625,Estimated smolt survival term,Natural,2013-01-31,"8/ Average of ocean recoveries of paired Late-Fall releases from Coleman NFH released at Battle Creek and Delta locations from 1994-2001 (USFWS, unpubl. data, Chipps Table 2005)",NA,NA,NA
2012,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
2012,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
2012,96525,Total LSNFH production entering the Delta,Hatchery,2013-01-31,NA,NA,NA,NA
2012,180000,LSNFH Hatchery release,Hatchery,2013-01-31,"9/ LSNFH release numbers from USFWS, 12/19/12 (100% tagged & clipped).",LSNFH,NA,NA
2012,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2012,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2012,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2012,10656,Natural Incidental Take Limit,Natural,2013-01-31,NA,NA,NA,NA
2012,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2012,965,LSNFH Incidental Take Limit,Hatchery,2013-01-31,NA,NA,NA,NA
2012,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2012,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2013,1196387,Total natural production entering the Delta,Natural,2014-02-21,NA,NA,NA,NA
2013,5958,Total Sacramento River escapement,Natural,2014-02-21,"1/ Total in-river escapement from Cormack-Jolly-Seber (CJS) model (90% CI), includes natural and hatchery origin, but not 117 collected at Keswick trap for LSNFH (CDFW letter 1/7/14).","CDFW, USFWS",NA,NA
2013,3613,Adult female estimate,Natural,2014-02-21,2/ The number of females is derived from carcass survey and then the number of males is derived using sex ratio at Keswick trap.,"CDFW, USFWS",NA,NA
2013,3577,AFE minus pre-spawn mortality,Natural,2014-02-21,3/ Pre-spawn mortality was estimated from carcass surveys of females (CDFW final estimate 12/15/13).,"CDFW, USFWS",NA,NA
2013,4596,Average fecundity,Natural,2014-02-21,"4/ Average # eggs/female, from 2013 returns to LSNFH (n=50), John Rueth, USFWS, email 12/13/13.",LSNFH,NA,NA
2013,16439295,Total eggs,Natural,2014-02-21,NA,"CDFW, LSNFH, USFWS",NA,NA
2013,0.27,Estimated egg-to-fry survival rate,Natural,2014-02-21,NA,"CDFW, LSNFH, USFWS",NA,NA
2013,0.27,Fry-to-smolt survival,Natural,2014-02-21,7/ Weighted average (50/50) of winter-run (2013) and late-fall run (2007-2010) acoustic tag data.,NA,NA,NA
2013,0.27,Estimated smolt survival term,Natural,2014-02-21,"10/ Survival of acoustically tagged winter run in 2014 between Salt Creek and Tower Bridge - A. Ammann, personal communication",NA,NA,NA
2013,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
2013,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
2013,30880,Total LSNFH production entering the Delta,Hatchery,2014-02-21,"9/ Hatchery survival estimated from 2013 acoustic tag study (Hassrick, unpublished)",NA,NA,NA
2013,193000,LSNFH Hatchery release,Hatchery,2014-02-21,"8/ LSNFH estimated 2014 release numbers from USFWS pre-release, 2/3/14 (100% tagged & clipped).",LSNFH,NA,NA
2013,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2013,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2013,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2013,23928,Natural Incidental Take Limit,Natural,2014-02-21,NA,NA,NA,NA
2013,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2013,309,LSNFH Incidental Take Limit,Hatchery,2014-02-21,NA,NA,NA,NA
2013,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2013,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2014,124521,Total natural production entering the Delta,Natural,2015-01-16,NA,NA,NA,NA
2014,2627,Total Sacramento River escapement,Natural,2015-01-16,1/ Total in-river escapement from Cormack-Jolly Seber (CIS) model includes natural and hatchery origin,"CDFW, USFWS",NA,NA
2014,1698,Adult female estimate,Natural,2015-01-16,2/ The number of adult (age 3 or older) females is derived from carcass survey and then the number of males is derived using sex ratio at Keswick trap,"CDFW, USFWS",NA,NA
2014,1681,AFE minus pre-spawn mortality,Natural,2015-01-16,3/ Pre-spawn mortality was estimated from carcass surveys of females (CDFW).,"CDFW, USFWS",NA,NA
2014,5308,Average fecundity,Natural,2015-01-16,4/ Average # eggs/female from 175 females (including females less than 3 years old) collected from the 2014 returns to Livingston Stone,LSNFH,NA,NA
2014,8922854,Total eggs,Natural,2015-01-16,NA,"CDFW, LSNFH, USFWS",NA,NA
2014,0.056,Estimated egg-to-fry survival rate,Natural,2015-01-16,NA,"CDFW, LSNFH, USFWS",NA,NA
2014,0.59,Fry-to-smolt survival,Natural,2015-01-16,9/ Estimate of fry to smolt survival based on fall run at Tehama Colusa Fish Facility (Hallock undated),NA,NA,NA
2014,0.42,Estimated smolt survival term,Natural,2015-01-16,"10/ Survival of acoustically tagged winter run in 2014 between Salt Creek and Tower Bridge - A. Ammann, personal communication",NA,NA,NA
2014,296479,Number of smolts at RBDD,Natural,2015-01-16,NA,USFWS,NA,NA
2014,502506,Fry equivalents of juvenile production at RBDD,Natural,2015-01-16,"8/ Number of fry equivalents at RBDD-JPI-Bill Poytress, personal communication",USFWS,NA,NA
2014,185600,Total LSNFH production entering the Delta,Hatchery,2015-01-16,"12/ Average of acoustically tagged winter run survival in 2014 (0.42) and 2013 (0.16) between Salt Creek and Tower Bridge, (A. Ammann, per. comm).",NA,NA,NA
2014,640000,LSNFH Hatchery release,Hatchery,2015-01-16,11/ LSNFH estimated release as of 12/3/14 (100% tagged and adipose clipped). Tripled production due to drought,LSNFH,NA,NA
2014,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2014,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2014,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2014,2490,Natural Incidental Take Limit,Natural,2015-01-16,NA,NA,NA,NA
2014,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2014,1885,LSNFH Incidental Take Limit,Hatchery,2015-01-16,NA,NA,NA,NA
2014,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2014,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2015,101716,Total natural production entering the Delta,Natural,2016-01-28,NA,NA,NA,NA
2015,3182,Total Sacramento River escapement,Natural,2016-01-28,"1/ Total in-river escapement from Cormack-Jolly Seber (CJS) model includes natural and hatchery origin, but not hatchery fish retained for brood stock at Livingston Stone National Fish Hatchery.","CDFW, USFWS",NA,NA
2015,2063,Adult female estimate,Natural,2016-01-28,2/ The number of adult (age 3 or older) females is derived from carcass survey and then the number of males is derived using sex ratio at Keswick trap,"CDFW, USFWS",NA,NA
2015,2022,AFE minus pre-spawn mortality,Natural,2016-01-28,3/ Pre-spawn mortality was estimated from carcass surveys of females (CDFW).,"CDFW, USFWS",NA,NA
2015,4819,Average fecundity,Natural,2016-01-28,4/ Average # eggs/female from 175 females (including females less than 3 years old) collected from the 2015 returns to Livingston Stone National Fish Hatchery.,LSNFH,NA,NA
2015,9742765,Total eggs,Natural,2016-01-28,NA,"CDFW, LSNFH, USFWS",NA,NA
2015,0.042,Estimated egg-to-fry survival rate,Natural,2016-01-28,NA,"CDFW, LSNFH, USFWS",NA,NA
2015,0.59,Fry-to-smolt survival,Natural,2016-01-28,6/ Estimate of fry-to-smolt survival based on fall-run at Tehama Colusa Spawning Channel (Hallock updated),NA,NA,NA
2015,0.42,Estimated smolt survival term,Natural,2016-01-28,"10/ Average survival of acoustically tagged winter run in 2013, 2014 and 2015 (2 values in 2015) between RBDD and 180 Tower Bridge in Sacramento - A. Ammann, NMFS, personal communication. Survival is estimated from the Salt Creek receiver site, located 3 miles downstream of RBDD, to estimate survival from RBDD for acoustic tag studies.",NA,NA,NA
2015,242180,Number of smolts at RBDD,Natural,2016-01-28,NA,USFWS,NA,NA
2015,410475,Fry equivalents of juvenile production at RBDD,Natural,2016-01-28,"8/ Number of fry equivalents at RBDD - JPI - Bill Poytress, (USFWS), personal communication",USFWS,NA,NA
2015,148000,Total LSNFH production entering the Delta,Hatchery,2016-01-28,"12/ Average of acoustically tagged winter run survival in 2013, 2014 and 2015 (2 values in 2015) between Caldwell Park and 180 Tower Bridge in Sacramento, (A. Ammann, NMFS, personal comm).",NA,NA,NA
2015,400000,LSNFH Hatchery release,Hatchery,2016-01-28,11/ LSNFH estimated release as of 12/10/15 (100% tagged and adipose clipped). Production was increased due to the drought.,LSNFH,NA,NA
2015,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2015,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2015,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2015,1017,Natural Incidental Take Limit,Natural,2016-01-28,NA,NA,NA,NA
2015,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2015,1554,LSNFH Incidental Take Limit,Hatchery,2016-01-28,NA,NA,NA,NA
2015,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2015,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2016,166189,Total natural production entering the Delta,Natural,2017-02-03,NA,NA,NA,NA
2016,1409,Total Sacramento River escapement,Natural,2017-02-03,"1/ Total in-river escapement from CDFW Cormack-Jolly Seber (CJS) model includes natural and hatchery origin, but not hatchery fish retained for brood stock at LSNFH.","CDFW, USFWS",NA,NA
2016,658,Adult female estimate,Natural,2017-02-03,2/ The number of adult females is derived from carcass survey and then the number of males is derived using sex ratio at Keswick trap,"CDFW, USFWS",NA,NA
2016,653,AFE minus pre-spawn mortality,Natural,2017-02-03,3/ Pre-spawn mortality was estimated from carcass surveys of females (CDFW).,"CDFW, USFWS",NA,NA
2016,3907.4,Average fecundity,Natural,2017-02-03,4/ Average # eggs/female from weighted estimate based on two year and three old fish spawned at Livingston Stone Hatchery and in the carcass survey(Attachment A).,LSNFH,NA,NA
2016,2551585,Total eggs,Natural,2017-02-03,NA,"CDFW, LSNFH, USFWS",NA,NA
2016,0.24,Estimated egg-to-fry survival rate,Natural,2017-02-03,NA,"CDFW, LSNFH, USFWS",NA,NA
2016,0.59,Fry-to-smolt survival,Natural,2017-02-03,6/ Estimate of fry-to-smolt survival based on fall-run at Tehama Colusa Spawning Channel (Hallock updated),NA,NA,NA
2016,0.459,Estimated smolt survival term,Natural,2017-02-03,"9/ Average weighted survival of acoustically tagged winter-run in 2013, 2014 and 2015 (2 values in 2015) between RBDD and 180 Tower Bridge in Sacramento - A. Ammann, NMFS, personal communication. Survival is estimated from the Sall Creek receiver site, located 3 miles downstream of RBDD, to estimate survival from RBDD for acoustic tag studies.",NA,NA,NA
2016,362068,Number of smolts at RBDD,Natural,2017-02-03,NA,USFWS,NA,NA
2016,613675,Fry equivalents of juvenile production at RBDD,Natural,2017-02-03,"7/ Number of fry equivalents estimated on December 16, 2016 at RBDD-JPI-Bill Poytress, (USFWS), personal communication",USFWS,NA,NA
2016,57195,Total LSNFH production entering the Delta,Hatchery,2017-02-03,"11/Weighted average of acoustically tagged winter-run survival in 2013, 2014 and 2015 and 2016 (2 values in 2015 and 2016) between release location and 180/150 Bridge in Sacramento, (Pal Brandes, USFWS and A. Ammann, NMFS, personal comm, Attachment B).",NA,NA,NA
2016,139500,LSNFH Hatchery release,Hatchery,2017-02-03,10/ LSNFH estimated release as of 12/16/16 (100% lagged and adipose clipped).,LSNFH,NA,NA
2016,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2016,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2016,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2016,1662,Natural Incidental Take Limit,Natural,2017-02-03,NA,NA,NA,NA
2016,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2016,582,LSNFH Incidental Take Limit,Hatchery,2017-02-03,NA,NA,NA,NA
2016,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2016,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2017,201409,Total natural production entering the Delta,Natural,2018-01-08,NA,NA,NA,NA
2017,795,Total Sacramento River escapement,Natural,2018-01-08,"1/ Total in-river escapement from CDFW Cormack-Jolly Seber (CJS) model includes natural and hatchery origin, but not hatchery fish retained for brood stock at LSNFH.","CDFW, USFWS",NA,NA
2017,373,Adult female estimate,Natural,2018-01-08,2/ The number of adult females is derived from carcass survey and then the number of males is derived using sex ratio at Keswick trap,"CDFW, USFWS",NA,NA
2017,367,AFE minus pre-spawn mortality,Natural,2018-01-08,3/ Pre-spawn mortality was estimated from carcass surveys of females (CDFW).,"CDFW, USFWS",NA,NA
2017,4109,Average fecundity,Natural,2018-01-08,4/ Preliminary (subject to change) average # of eggs/female from weighted estimate based on two year and three year old fish spawned at Livingston Stone Hatchery and from the carcass survey.,LSNFH,NA,NA
2017,1507924,Total eggs,Natural,2018-01-08,NA,"CDFW, LSNFH, USFWS",NA,NA
2017,0.44,Estimated egg-to-fry survival rate,Natural,2018-01-08,NA,"CDFW, LSNFH, USFWS",NA,NA
2017,0.59,Fry-to-smolt survival,Natural,2018-01-08,6/ Estimate of fry-to-smolt survival based on fall-run at Tehama Colusa Spawning Channel (Hallock updated),NA,NA,NA
